BUSINESSID,X_Coord,Y_Coord,PARENTNAME,NAME,TRAFFIC_ZONE,FULL_ADDRESS,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIR,UNIT_NUM,COMMUNITY,MUNICIPALITY,PROVINCE,COUNTRY,POST_CODE,MAIL_FULL_ADDRESS,MAIL_STREET_NUM,MAIL_STREET_NAME,MAIL_STREET_TYPE,MAIL_STREET_DIR,MAIL_UNIT_NUM,MAIL_COMMUNITY,MAIL_MUNICIPALITY,MAIL_PROVINCE,MAIL_COUNTRY,MAIL_POST_CODE,MAIL_POBOX,PRIM_NAICS,PRIM_NAICS_DESC,SEC_NAICS,SEC_NAICS_DESC,PRIM_BUS_CLUSTER,SEC_BUS_CLUSTER,BUS_ACTIVITY_DESC,MANUFACTURER,CAN_HEADOFFICE,HEADOFFICEPROVSTATE,HEADOFFICECOUNTRY,EMPLOYEE_RANGE,YR_CURRENTLOC,WEBSITE,GEN_BUS_EMAIL,PHONE_NO,PHONE_EXT,FAX_NO,TOLLFREE_NO,TOLLFREE_EXT,UPDATEMETHOD,LAST_SURVEYED,LAST_UPDATED
82029,639233,4862903, ,CROSSFIT MARKHAM,1213,9833 MARKHAM ROAD,9833,MARKHAM,Road, ,10,Markham,Markham,ONTARIO,CANADA,L3P3J3,9833 MARKHAM ROAD,9833,MARKHAM,Road, ,10,Markham,Markham,ONTARIO,CANADA,L3P3J3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"FITNESS TRAINING CENTER (GYM) OPEN TO PUBLIC - CLASSES, PERSONAL AND TEAM TRAINING, RETAIL OF BRANDED SHIRTS",0,0,NA,NOT APPLICABLE,9-May,2013,WWW.CRISTINIATHLETICS.COM,CROSSFITMARKHAM@YAHOO.CA,905-554-9348,0, , , ,In Person,12/20/2019,7/31/2019
82054,617614,4853918, ,TRUE CANADIAN OUTDOORS,1059,3175 RUTHERFORD ROAD,3175,RUTHERFORD,Road, ,46,Concord,Vaughan,ONTARIO,CANADA,L4K5Y6,3175 RUTHERFORD ROAD,3175,RUTHERFORD,Road, ,46,Concord,Vaughan,ONTARIO,CANADA,L4K5Y6, ,45111,SPORTING GOODS STORES, , , , ,"FISHING AND OUTDOOR EQUIPMENT RETAIL, LIVE BAIT AND TACKLE",0,0,NA,NOT APPLICABLE,4-Jan,2012,WWW.TRUECANADIANOUTDOORS.COM,CANADIANOUTDOORS@LIVE.CA,905-761-9666,0, , , ,In Person,12/20/2019,8/1/2019
82152,640659,4862525, ,BETTER BODY,1213,50 GREENSBOROUGH VILLAGE CIRCL,50,GREENSBOROUGH VIL,Circle, ,13-15,Markham,Markham,ONTARIO,CANADA,L6E1M1,50 GREENSBOROUGH VILLAGE CIRCL,50,GREENSBOROUGH VIL,Circle, ,13-15,Markham,Markham,ONTARIO,CANADA,L6E1M1, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,62149,OTHER OUT-PATIENT CARE CENTRES, , ,"REHAB THERAPY, CHIROPRACTIC,  MASSAGE THERAPY, GYM MEMBERSHIPS, PERSONAL TRAINING, ACUPUNCTURE, NATUROPATHIC SERVICES, PHYSIOTHERAPY, AND ORTHOTICS.",0,0,NA,NOT APPLICABLE,19-Oct,2008,WWW.YOURBETTERBODY.CA,ADMIN@YOURBETTERBODY.CA,905-209-8300,0,905-209-8301, , ,In Person,12/20/2019,8/7/2019
82777,639178,4862969, ,MUMBA BASKETBALL,1213,9889 MARKHAM ROAD,9889,MARKHAM,Road, ,203,Markham,Markham,ONTARIO,CANADA,L6E0B7,9889 MARKHAM ROAD,9889,MARKHAM,Road, ,203,Markham,Markham,ONTARIO,CANADA,L6E0B7, ,71121,SPECTATOR SPORTS, , , , ,"BASKETBALL CLUB FOR KIDS, SUMMER CAMPS",0,0,NA,NOT APPLICABLE,4-Jan,2018,WWW.MUMBABASKETBALL.CA,MUMBA@MUMBABASKETBALL.CA,416-884-7543,0, , , ,Phone,12/20/2019,8/22/2019
82789,640505,4856627, ,CRICKET STORE CANADA,1219,45 KARACHI DRIVE,45,KARACHI,Drive, ,47,Markham,Markham,ONTARIO,CANADA,L3S0B5,45 KARACHI DRIVE,45,KARACHI,Drive, ,47,Markham,Markham,ONTARIO,CANADA,L3S0B5, ,45111,SPORTING GOODS STORES, , , , ,RETAIL SALE OF CRICKET SPORT EQUIPMENT.,0,0,NA,NOT APPLICABLE,4-Jan,2013,WWW.CRICKETSTORECANADA.COM,CRICKETSTORECANADA@GMAIL.COM,905-554-8422,0,905-554-8421, , ,In Person,12/20/2019,7/24/2019
83341,617751,4852961, ,PANTERA FITNESS,1376,399 FOUR VALLEY DRIVE,399,FOUR VALLEY,Drive, ,11,Concord,Vaughan,ONTARIO,CANADA,L4K5Y8,399 FOUR VALLEY DRIVE,399,FOUR VALLEY,Drive, ,11,Concord,Vaughan,ONTARIO,CANADA,L4K5Y8, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"HEALTH AND FITNESS. OFFERS GROUP FITNESS, PERSONAL TRAINING",0,0,NA,NOT APPLICABLE,4-Jan,2012,WWW.PANTERAFITNESS.COM,PANTERAGMT@GMAIL.COM,647-295-6049,0, , , ,Phone,12/20/2019,8/14/2019
83602,642242,4860532,CITY OF MARKHAM,CORNELL COMMUNITY CENTRE,1223,3201 BUR OAK AVENUE,3201,BUR OAK,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L6B1E3,3201 BUR OAK AVENUE,3201,BUR OAK,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L6B1E3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,TOURISM,UNDEFINED,COMMUNITY CENTRE,0,0,NA,NOT APPLICABLE,100-499,0,WWW.MARKHAM.CA, ,905-513-7977,0, , , ,other,12/20/2019,9/17/2019
83621,638578,4868410, ,SPORT CHEK,1299,1010 HOOVER PARK DRIVE,1010,HOOVER PARK,Drive, ,3,Stouffville,Whitchurch-Stouffville,ONTARIO,CANADA,L4A0K2,1010 HOOVER PARK DRIVE,1010,HOOVER PARK,Drive, ,3,Stouffville,Whitchurch-Stouffvil,ONTARIO,CANADA,L4A0K2, ,45111,SPORTING GOODS STORES, , , , ,"SPORTING GOODS STORE, MAINLY RETAILERS SPORTSWEAR AND SHOES, BIKE REPAIRS AND MAINTENANCE ON SKIS AND SKATE REPAIRS.",0,0,AB,CANADA,20-49,2013,WWW.SPORTCHEK.CA, ,905-640-3919,0, , , ,In Person,12/20/2019,5/23/2019
84133,625730,4881005, ,INTEGRATED TRAINING STUDIOS,1264,160 PONY DRIVE,160,PONY,Drive, ,6B,Newmarket,Newmarket,ONTARIO,CANADA,L3Y7B6,160 PONY DRIVE,160,PONY,Drive, ,6B,Newmarket,Newmarket,ONTARIO,CANADA,L3Y7B6, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,TRAINING GYM. ORTHOPEDIC REHABILITATION AND STRENGTH COACH.,0,0,NA,NOT APPLICABLE,4-Jan,2013,WWW.INTEGRATEDTRAININGSTUDIOS.CA,JAMIE@INTEGRATEDTRAININGSTUDIOS.CA,905-235-7737,0, , , ,Phone,12/20/2019,5/8/2018
84182,639900,4870511, ,STOUFFVILLE SPIRIT JUNIOR HOCKEY CLUB,1301,12483 NINTH LINE,12483,NINTH,Line, , ,Stouffville,Whitchurch-Stouffville,ONTARIO,CANADA,L4A1J3,12483 NINTH LINE,12483,NINTH,Line, , ,Stouffville,Whitchurch-Stouffvil,ONTARIO,CANADA,L4A1J3, ,71121,SPECTATOR SPORTS, , ,UNDEFINED,UNDEFINED,JUNIOR HOCKEY LEAGUE,0,0,NA,NOT APPLICABLE,NOT AVAILABLE,0,WWW.STOUFFVILLESPIRIT.COM,SPIRIT@STOUFFVILLESPIRIT.COM,905-642-2123,0, , , ,Phone,12/20/2019,7/4/2014
84184,639900,4870511, ,WHITCHURCH-STOUFFVILLE MINOR HOCKEY ASSOCIATION,1301,12483 NINTH LINE,12483,NINTH,Line, , ,Stouffville,Whitchurch-Stouffville,ONTARIO,CANADA,L4A8B4,12483 NINTH LINE,12483,NINTH,Line, , ,Stouffville,Whitchurch-Stouffvil,ONTARIO,CANADA,L4A8B4,976,71121,SPECTATOR SPORTS, , , , ,"MINOR HOCKEY ASSOCIATION, PROVIDE HOCKEY PROGRAM FOR KIDS 3-20 YEARS OLD",0,0,NA,NOT APPLICABLE,4-Jan,2000,WWW.WSMHA.COM,INFO@WSMHA.COM,905-642-2835,0, , , ,Phone,12/20/2019,5/28/2018
84536,625762,4880523, ,FIT 4 LESS BY GOODLIFE,1264,1111 DAVIS DRIVE,1111,DAVIS,Drive, ,35,Newmarket,Newmarket,ONTARIO,CANADA,L3Y8X2,1111 DAVIS DRIVE,1111,DAVIS,Drive, ,35,Newmarket,Newmarket,ONTARIO,CANADA,L3Y8X2, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,GYM AND FITNESS CENTRE. NO CLASSES OR INSTRUCTION.,0,0,ON,CANADA,9-May,2014,WWW.FIT4LESS.CA,NEWMARKETDAVIS@FIT4LESS.CA,905-830-0324,0, , , ,In Person,12/20/2019,5/31/2019
84716,642035,4862088, ,LUX FIT PERSONAL TRAINING,1223,2722 BUR OAK AVENUE,2722,BUR OAK,Avenue, ,2,Markham,Markham,ONTARIO,CANADA,L6B1K8,1 UPTOWN DRIVE,1,UPTOWN,Drive, ,101,Markham,Markham,ONTARIO,CANADA,L3R5C1, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"WEIGHT CONSULTING, PRIVATE EXERCISE TRAINING, PERSONAL TRAINER, GYM",0,0,NA,NOT APPLICABLE,4-Jan,2014,WWW.LUXFIT.CA,INFO@LUXFIT.CA,647-294-4835,0, , , ,In Person,12/20/2019,8/2/2019
84780,623540,4900489, ,CROSSFIT,1338,1 CHURCH STREET,1,CHURCH,Street, ,8-Jul,Keswick,Georgina,ONTARIO,CANADA,L4P3E9,1 CHURCH STREET,1,CHURCH,Street, ,8-Jul,Keswick,Georgina,ONTARIO,CANADA,L4P3E9, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"FITNESS GYM SPECIALIZING IN CROSSFIT TRAINING, PERSONAL TRAINING, HOCKEY TEAM TRAINING, AND GROUP TRAINING",0,0,NA,NOT APPLICABLE,4-Jan,2013,WWW.CROSSFITN6.COM,CONTACT@CROSSFITN6.COM,647-237-2844,0, , , ,Phone,12/20/2019,6/27/2016
84948,630048,4858348, ,ESTA,1145,40 VOGELL ROAD,40,VOGELL,Road, ,54,Richmond Hill,Richmond Hill,ONTARIO,CANADA,L4B3K7,1226 WHITE OAKS BOULEVARD,1226,WHITE OAKS,Boulevard, ,2,Oakville,Oakville,ONTARIO,CANADA,L6H2B9, ,45111,SPORTING GOODS STORES, , , , ,SHOWROOM FOR DESIGNED FIGURE SKATING COSTUMES THAT THE BUSINESS WOULD MANUFACTURE AT THEIR OTHER LOCATIONS,0,0,ON,NOT APPLICABLE,4-Jan,2013,WWW.ESTACANADA.CA,ESTA@BELLNET.CA,905-330-2126,0, ,877-808-3782, ,Phone,12/20/2019,7/16/2019
85130,639309,4862415, ,HOURGLASS WORKOUT,1213,114 ANDERSON AVENUE,114,ANDERSON,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L6E1A5,114 ANDERSON AVENUE,114,ANDERSON,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L6E1A5, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , ,UNDEFINED,UNDEFINED,FITNESS CENTRE,0,0,NA,NOT APPLICABLE,NOT AVAILABLE,0,WWW.HOURGLASSWORKOUT.COM, ,905-554-7673,0, , , ,Phone,12/20/2019,8/1/2014
85237,639628,4861631, ,MARKHAM SOCCER CLUB,1214,6140 16TH AVENUE,6140,16TH,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L3P3K8,6140 16TH AVENUE,6140,16TH,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L3P3K8, ,71121,SPECTATOR SPORTS, , , , ,BY APPOINTMENT ONLY. TECHNICAL OFFICE FOR MARKHAM'S SOCCER CLUB. THIS IS ALSO THEIR MAILING ADDRESS.,0,0,NA,NOT APPLICABLE,100-499,1980,WWW.MARKHAMSOCCER.ORG,INFO@MARKHAMSOCCER.ORG,905-472-2869,0, , , ,Phone,12/20/2019,8/17/2018
85238,639628,4861631, ,MARKHAM WAXERS HOUSE LEAGUE,1214,6140 16TH AVENUE,6140,16TH,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L3P3K8,6140 16TH AVENUE,6140,16TH,Avenue, , ,Markham,Markham,ONTARIO,CANADA,L3P3K8, ,71121,SPECTATOR SPORTS, , , , ,MINOR HOCKEY ASSOCIATION THAT OFFERS HOCKEY PROGRAMS TO PLAYERS AGES 4-21.,0,0,NA,NOT APPLICABLE,4-Jan,1963,WWW.WAXERS.COM,ADMIN@WAXERS.COM,905-471-8820,0,905-471-9853, , ,Phone,12/20/2019,8/7/2018
85418,638748,4869239, ,CROSSFIT CRUX,1299,118 SANDIFORD DRIVE,118,SANDIFORD,Drive, ,2,Stouffville,Whitchurch-Stouffville,ONTARIO,CANADA,L4A3S3,118 SANDIFORD DRIVE,118,SANDIFORD,Drive, ,2,Stouffville,Whitchurch-Stouffvil,ONTARIO,CANADA,L4A3S3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES,44819,OTHER CLOTHING STORES, , ,"CROSSFIT GYM. PERSONAL TRAINING. ATHLETIC CLASSES. WEIGHT LOSS CLASSES, RETAIL SUPPLEMENTS AND BRANDED CLOTHING",0,0,NA,NOT APPLICABLE,19-Oct,2013,WWW.CROSSFITCRUX.COM,INFO@CROSSFITCRUX.COM,416-662-1637,0, , , ,In Person,12/20/2019,5/17/2019
85470,612465,4847516, ,D.G. SPORTS INC,1364,7601 MARTIN GROVE ROAD,7601,MARTIN GROVE,Road, , ,Woodbridge,Vaughan,ONTARIO,CANADA,L4L9E4,7601 MARTIN GROVE ROAD,7601,MARTIN GROVE,Road, , ,Woodbridge,Vaughan,ONTARIO,CANADA,L4L9E4, ,71121,SPECTATOR SPORTS, , , , ,SPORTS ADMINISTRATION FOR SOCCER LEAGUE FOR ONTARIO,0,0,NA,NOT APPLICABLE,9-May,1997,WWW.DGSPORTS.CA,DAVID@DGSPORTS.CA,905-264-9404,0,905-264-9665, , ,In Person,12/20/2019,7/30/2019
85471,612462,4847516, ,ONTARIO SOCCER,1364,7601 MARTIN GROVE ROAD,7601,MARTIN GROVE,Road, , ,Woodbridge,Vaughan,ONTARIO,CANADA,L4L9E4,7601 MARTIN GROVE ROAD,7601,MARTIN GROVE,Road, , ,Woodbridge,Vaughan,ONTARIO,CANADA,L4L9E4, ,71121,SPECTATOR SPORTS, , , , ,GOVERNING PARTY FOR ALL OF ONTARIO FOR THE SOCCER INDUSTRY FOR AMATEUR PLAYERS,0,0,NA,NOT APPLICABLE,20-49,1997,WWW.ONTARIOSOCCER.NET,ASK@ONTARIOSOCCER.NET,905-264-9390,1, ,888-427-4262, ,Phone,12/20/2019,8/20/2019
85539,623919,4877304, ,THE MOVE FITNESS AND DANCE STUDIO,1258,611 STEVEN COURT,611,STEVEN,Court, ,4,Newmarket,Newmarket,ONTARIO,CANADA,L3Y6Z3,611 STEVEN COURT,611,STEVEN,Court, ,4,Newmarket,Newmarket,ONTARIO,CANADA,L3Y6Z3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,FITNESS STUDIO PROVIDING A VARIETY OF GROUP FITNESS CLASSES,0,0,NA,NOT APPLICABLE,4-Jan,2013,WWW.THEMOVESTUDIO.CA,INFO@THEMOVESTUDIO.CA,289-803-3030,0, , , ,Phone,12/20/2019,7/2/2019
85568,631190,4853609, ,THORNHILL SOCCER CLUB,1156,2400 JOHN STREET,2400,JOHN,Street, , ,Thornhill,Markham,ONTARIO,CANADA,L3T6G6,2400 JOHN STREET,2400,JOHN,Street, , ,Thornhill,Markham,ONTARIO,CANADA,L3T6G6,3,71121,SPECTATOR SPORTS, , , , ,SOCCER CLUB,0,0,NA,NOT APPLICABLE,4-Jan,1973,WWW.THORNHILLSOCCER.COM,ADMIN@THORNHILLSOCCER.COM,905-881-8599,0,905-881-1836, , ,Phone,12/20/2019,6/28/2018
85713,632152,4857326, ,TK SPORTS PERFORMANCE TRAINING,1172,115 APPLE CREEK BOULEVARD,115,APPLE CREEK,Boulevard, ,4,Markham,Markham,ONTARIO,CANADA,L3R6C9,115 APPLE CREEK BOULEVARD,115,APPLE CREEK,Boulevard, ,4,Markham,Markham,ONTARIO,CANADA,L3R6C9, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,TRAINING FACILITY FOR ATHLETES TO EXCEL AT THEIR SPORT,0,0,NA,NOT APPLICABLE,4-Jan,2014,WWW.THOMASKIRIAKOU.COM,THOMAS@THOMASKIRIAKOU.COM,416-797-7576,0, , , ,Phone,12/20/2019,8/6/2019
85799,621884,4851861, ,HARVESTER BIKES,1384,470 NORTH RIVERMEDE ROAD,470,RIVERMEDE,Road, ,15,Concord,Vaughan,ONTARIO,CANADA,L4K3R8,470 NORTH RIVERMEDE ROAD,470,RIVERMEDE,Road, ,15,Concord,Vaughan,ONTARIO,CANADA,L4K3R8, ,45111,SPORTING GOODS STORES, , , , ,"BICYCLE SHOP, REPAIR BIKE, RETAIL OF BIKE ACCESSORIES",0,0,NA,NOT APPLICABLE,4-Jan,2014,WWW.HARVESTERBIKES.CA,HARVESTERBIKES@GMAIL.COM,647-235-3241,0, , , ,Phone,12/20/2019,8/20/2019
85923,632754,4857097, ,C2 BADMINTON CLUB,1172,1300 RODICK ROAD,1300,RODICK,Road, ,D,Markham,Markham,ONTARIO,CANADA,L3R8C3,1300 RODICK ROAD,1300,RODICK,Road, ,D,Markham,Markham,ONTARIO,CANADA,L3R8C3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,RECREATION CENTER FOR BADMINTON ALSO SELLS BADMINTON PRODUCTS,0,0,NA,NOT APPLICABLE,4-Jan,2013,WWW.THEBADMINTONCOACHING.CA, ,289-818-2327,0, , , ,In Person,12/20/2019,5/22/2019
85944,623997,4879138, ,IEM BASKETBALL,1261,169 CHARLOTTE STREET SOUTH,169,CHARLOTTE,Street,S,3,Newmarket,Newmarket,ONTARIO,CANADA,L3Y3S7,913 ATAIRE ROAD,913,ATAIRE,Road, , ,Newmarket,Newmarket,ONTARIO,CANADA,L3X1L3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"BASKETBALL LEAGUE, ADMIN DUTIES",0,0,NA,NOT APPLICABLE,4-Jan,2012,WWW.IEMBASKETBALL.COM,INFO@IEMBASKETBALL.COM,905-836-6195,0, , , ,Phone,12/20/2019,5/29/2019
85967,638700,4859654, ,OLYMPIAN SWIMMING,1206,150 BULLOCK DRIVE,150,BULLOCK,Drive, ,3,Markham,Markham,ONTARIO,CANADA,L3P1W2,150 BULLOCK DRIVE,150,BULLOCK,Drive, ,3,Markham,Markham,ONTARIO,CANADA,L3P1W2, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,PRIVATE SWIMMING CLASSES,0,0,ON,CANADA,50-99,2013,WWW.OLYMPIANSWIMMING.COM,BULLOCK@OLYMPIANSWIMMING.COM,905-471-8301,0, , , ,In Person,12/20/2019,7/22/2019
86079,612832,4848786, ,MAJESTIC STRENGTH INSTITUTE,1023,281 WOODBRIDGE AVENUE,281,WOODBRIDGE,Avenue, ,A29,Woodbridge,Vaughan,ONTARIO,CANADA,L4L0C6,47 BILLY COURT,47,BILLY,Court, , ,Peel,Peel,ONTARIO,CANADA,L7C3X3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"PERSONAL TRAINING - MARTIAL ARTS, STRENGTH & CONDITIONING, FAT LOSS AND BODY SHAPING TECHNIQUES.",0,0,NA,NOT APPLICABLE,4-Jan,2013,WWW.MAJESTICSTRENGTH.COM,INFO@MAJESTICSTRENGTH.COM,416-505-1260,0, , , ,In Person,12/20/2019,8/31/2018
86160,614270,4847938, ,VENETO TENNIS CLUB,1366,7465 KIPLING AVENUE,7465,KIPLING,Avenue, , ,Woodbridge,Vaughan,ONTARIO,CANADA,L4L1Y5,7465 KIPLING AVENUE,7465,KIPLING,Avenue, , ,Woodbridge,Vaughan,ONTARIO,CANADA,L4L1Y5, ,71121,SPECTATOR SPORTS, , , , ,NOT-FOR-PROFIT TENNIS CLUB WITH OR WITHOUT MEMBERSHIP FOR ALL AGES. PROVIDES LESSONS FOR ALL AGES.,0,0,NA,NOT APPLICABLE,9-May,1994,WWW.VENETOTENNIS.COM,LUCAS@VENETOCENTRE.COM,905-850-0043,0, , , ,In Person,12/20/2019,7/31/2019
86173,632141,4853523, ,SWORDFISH SPORT,1160,90 NOLAN COURT,90,NOLAN,Court, ,26,Markham,Markham,ONTARIO,CANADA,L3R4L9,90 NOLAN COURT,90,NOLAN,Court, ,26,Markham,Markham,ONTARIO,CANADA,L3R4L9, ,45111,SPORTING GOODS STORES, , , , ,RETAIL STORE SELLS WATER SPORT PRODUCTS SUCH AS KAYAKS AND INFLATABLES,0,0,NA,NOT APPLICABLE,4-Jan,2013,WWW.SWORDFISH-SPORT.COM,INFO@SWORDFISH-SPORT.COM,0,0, ,888-879-6861, ,Phone,12/20/2019,5/29/2018
86462,622928,4851593, ,WICKED BARRE,1386,1416 CENTRE STREET,1416,CENTRE,Street, ,10-Sep,Thornhill,Vaughan,ONTARIO,CANADA,L4J8A1,1416 CENTRE STREET,1416,CENTRE,Street, ,10-Sep,Thornhill,Vaughan,ONTARIO,CANADA,L4J8A1, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"FITNESS STUDIO OFFERING CLASSES IN BARRE, PILATES, YOGA  AND MORE.",0,0,NA,NOT APPLICABLE,4-Jan,2013,WWW.WICKEDBARRE.COM,INFO@WICKEDBARRE.COM,416-332-3400,0, , , ,Phone,12/20/2019,8/9/2017
86570,622638,4852605, ,EVEREST ICE CASTLE,1092,130 RACCO PARKWAY,130,RACCO,Parkway, , ,Thornhill,Vaughan,ONTARIO,CANADA,L4J8X9,130 RACCO PARKWAY,130,RACCO,Parkway, , ,Thornhill,Vaughan,ONTARIO,CANADA,L4J8X9, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,ICE ARENA. USED FOR MEN'S HOCKEY LEAGUE AND RENTS OUT ARENA TO OTHER USERS.,0,0,NA,NOT APPLICABLE,20-49,2015,WWW.EVERESTICE.CA,ICERENTALS@EVERESTICE.CA,905-763-9180,0, , , ,Phone,12/20/2019,7/30/2019
86718,622398,4874045, ,SVELTE STUDIO PILATES YOGA CYCLE & FITNESS,1452,2 ORCHARD HEIGHTS BOULEVARD,2,ORCHARD HEIGHTS,Boulevard, ,43-44,Aurora,Aurora,ONTARIO,CANADA,L4G3W3,2 ORCHARD HEIGHTS BOULEVARD,2,ORCHARD HEIGHTS,Boulevard, ,43-44,Aurora,Aurora,ONTARIO,CANADA,L4G3W3, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"PILATES REFORMER, MATT PILATES STUDIO, YOGA, CYCLING, AND FITNESS TRAINING. ALSO HAS INDOOR WATER ROWING, SUSPENSION TRAINING SYSTEM , HIGH INTENSITY INTERVAL TRAINING CAMP",0,0,NA,NOT APPLICABLE,4-Jan,2014,WWW.SVELTEFITNESSSTUDIO.COM,INFO@SVELTEFITNESSSTUDIO.COM,905-727-8888,0, , , ,Phone,12/20/2019,8/7/2019
86922,617942,4851391, ,AUM YOGA,1060,160 CIDERMILL AVENUE,160,CIDERMILL,Avenue, ,2,Concord,Vaughan,ONTARIO,CANADA,L4K4K7,160 CIDERMILL AVENUE,160,CIDERMILL,Avenue, ,2,Concord,Vaughan,ONTARIO,CANADA,L4K4K7, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"YOGA STUDIO OFFERING YOGA, PILATES, REIKO, TAI CHI, AND BELLY DANCING CLASSES.",0,0,NA,NOT APPLICABLE,4-Jan,2017,WWW.AUMYOGA.CA,AUMYOGACANADA@GMAIL.COM,416-839-3118,0, , , ,Phone,12/20/2019,7/8/2019
87256,614234,4849940, ,LITTLE KICKERS YORK REGION,1029,120 JULES AVENUE,120,JULES,Avenue, , ,Woodbridge,Vaughan,ONTARIO,CANADA,L4L1Y3,120 JULES AVENUE,120,JULES,Avenue, , ,Woodbridge,Vaughan,ONTARIO,CANADA,L4L1Y3, ,71121,SPECTATOR SPORTS, , , , ,"SOCCER CLUB, 18 MONTHS TO 7 YEAR OLDS (RENTS OUT GYM SPACE OFF SITE)",0,0,NA,NOT APPLICABLE,19-Oct,2016,WWW.LITTLEKICKERS.CA,JFERNICOLA@LITTLEKICKERS.CA,647-833-5383,0, , , ,Phone,4/8/2020,5/22/2018
87443,623855,4872058, ,FEARLESS MMA,1454,240 INDUSTRIAL PARKWAY SOUTH,240,INDUSTRIAL,Parkway,S,7,Aurora,Aurora,ONTARIO,CANADA,L4G3V6,240 INDUSTRIAL PARKWAY SOUTH,240,INDUSTRIAL,Parkway,S,7,Aurora,Aurora,ONTARIO,CANADA,L4G3V6, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,MIXED MARTIAL ARTS TRAINING AND SCHOOL,0,0,NA,NOT APPLICABLE,4-Jan,2015,WWW.FEARLESSMMA.CA,INFO@FEARLESSMMA.CA,905-713-1662,0, , , ,In Person,12/20/2019,6/17/2019
87735,620899,4851017, ,VAUGHAN STRENGTH AND CONDITIONING,1083,2180 HIGHWAY 7,2180,7, , ,16,Concord,Vaughan,ONTARIO,CANADA,L4K1W6,2180 HIGHWAY 7,2180,7, , ,16,Concord,Vaughan,ONTARIO,CANADA,L4K1W6, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,CROSSFIT GYM,0,0,NA,NOT APPLICABLE,4-Jan,2013,WWW.VAUGHANSC.CA,JHEFT@VAUGHANSC.CA,905-695-0463,0, , , ,In Person,12/20/2019,6/17/2019
87970,621479,4853112, ,GILLYBOO,1084,14 CONNIE CRESCENT,14,CONNIE,Crescent, ,18-20,Concord,Vaughan,ONTARIO,CANADA,L4K2W8,14 CONNIE CRESCENT,14,CONNIE,Crescent, ,18-20,Concord,Vaughan,ONTARIO,CANADA,L4K2W8, ,41447,AMUSEMENT AND SPORTING GOODS WHOLESALER-DISTRIBUTORS, , , , ,DISTRIBUTING QUALITY SPORTING GOODS AND TOYS ACROSS NORTH AMERICA,0,0,NA,NOT APPLICABLE,4-Jan,2008,WWW.GILLYBOO.COM,GILLYBOOCUSTOMERCARE@GMAIL.COM,905-660-3522,0,905-660-3544, , ,In Person,12/20/2019,5/31/2019
88050,618888,4860756, ,ILOVEKICKBOXING.COM,1075,11399 KEELE STREET,11399,KEELE,Street, ,15-Dec,Maple,Vaughan,ONTARIO,CANADA,L6A4E1,11399 KEELE STREET,11399,KEELE,Street, ,15-Dec,Maple,Vaughan,ONTARIO,CANADA,L6A4E1, ,71394,FITNESS AND RECREATIONAL SPORTS CENTRES, , , , ,"KICKBOXING FITNESS, GROUP CLASSES, PRO SHOP FOR KICKBOXING WEAR",0,0,NA,USA,9-May,2013,WWW.ILOVEKICKBOXING.COM,VAUGHAN@ILOVEKICKBOXING.COM,289-304-7342,0, , , ,In Person,12/20/2019,5/23/2019
